NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,,,,,,,,,,,,,,,,,,,,226598.0,230539.0,207432.0,197118.0,183268.0,132803.0,,
ARISTOCRAT LEISURE,AU000000ALL7,,,,,,,,,,,,,,,,,,,,,7500.0,7200.0,7100.0,10679.0,16569.0,11094.0,
AMP,AU000000AMP6,,,,,,,,,20810.0,10500.0,3792.0,11960.2,18665.0,22056.8,,,,,9606.0,8117.0,7685.0,6047.0,4842.0,2169.0,953.0,636.0,
ANSELL,AU000000ANN9,,,,,,,,,,,,,,,,,,,,,,94610.0,101615.0,99119.0,76120.0,77684.0,46346.0
ANZ GROUP HOLDINGS,AU000000ANZ3,,,,,,,159108.0,158092.0,157968.0,163207.0,176570.0,202299.0,177724.0,205462.0,204108.0,194666.0,186844.0,172447.0,161969.0,153042.0,140319.0,122331.0,104984.0,96060.0,82853.0,76020.0,74556.0
APA GROUP,AU000000APA1,,,,,,,,,,,97360.0,92951.0,155569.0,153937.0,,,26857.0,26555.0,367387.0,178445.0,176980.0,87765.0,81791.0,92693.0,152018.0,141843.0,150471.0
ASX,AU000000ASX7,,,,,,,,,9950.0,,,10452.0,,11434.0,12000.0,12250.0,13011.0,14435.0,14262.0,14330.0,15065.0,14762.0,13730.0,13318.0,12676.0,12831.0,11803.0
BENDIGO & ADELAIDE BANK,AU000000BEN6,,,,,,,,,,,,,,29227.0,37190.0,37280.0,37770.0,36790.0,27730.0,,,12203.0,9627.0,9181.0,7531.0,6622.0,6389.0
BHP GROUP,AU000000BHP4,,,,,,,29296103.0,28600000.0,30626090.0,29469000.0,27160000.0,26250000.0,21000000.0,20000000.0,24700000.0,22300000.0,17600000.0,6700000.0,5800000.0,6400000.0,6210000.0,5100000.0,5000000.0,4800000.0,3800000.0,3700000.0,3100000.0
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,,,,,,,,723000.0,727000.0,647000.0,608000.0,604435.0,724000.0,730000.0,686000.0,465000.0,433000.0,419000.0,552000.0,413000.0,290000.0,280000.0,280000.0,,,
