ISIN,year,reason
AU000000ABC7,2004,no_carbon_data
AU000000ALL7,2004,no_carbon_data
AU000000AMP6,2004,no_carbon_data
AU000000ANN9,2004,no_carbon_data
AU000000ANZ3,2004,no_carbon_data
AU000000APA1,2004,no_carbon_data
AU000000ASX7,2004,no_carbon_data
AU000000BEN6,2004,no_carbon_data
AU000000BHP4,2004,no_carbon_data
AU000000BLD2,2004,no_carbon_data
AU000000BOQ8,2004,no_carbon_data
AU000000BPT9,2004,no_carbon_data
AU000000BSL0,2004,insufficient_history(29mo) | no_carbon_data
AU000000BWP3,2004,no_carbon_data
AU000000CBA7,2004,no_carbon_data
AU000000CGF5,2004,no_carbon_data
AU000000CIM7,2004,no_carbon_data
AU000000COH5,2004,no_carbon_data
AU000000CPU5,2004,no_carbon_data
AU000000CQR9,2004,no_carbon_data
AU000000CSL8,2004,no_carbon_data
AU000000CSR5,2004,no_carbon_data
AU000000CWY3,2004,insufficient_history(0mo) | no_carbon_data
AU000000DOW2,2004,no_carbon_data
AU000000DXS1,2004,no_carbon_data
AU000000ELD6,2004,no_carbon_data
AU000000ERA9,2004,no_carbon_data
AU000000FLT9,2004,no_carbon_data
AU000000GMG2,2004,no_carbon_data
AU000000GWA4,2004,no_carbon_data
AU000000HIL8,2004,no_carbon_data
AU000000HVN7,2004,no_carbon_data
AU000000IAG3,2004,no_carbon_data
AU000000IFL2,2004,insufficient_history(12mo) | no_carbon_data
AU000000IGO4,2004,insufficient_history(35mo) | no_carbon_data
AU000000ILU1,2004,no_carbon_data
AU000000IRE2,2004,no_carbon_data
AU000000IVC8,2004,insufficient_history(12mo) | no_carbon_data
AU000000JBH7,2004,insufficient_history(14mo) | no_carbon_data
AU000000LLC3,2004,no_carbon_data
AU000000MAH3,2004,no_carbon_data
AU000000MGR9,2004,no_carbon_data
AU000000MGX7,2004,stale_prices | no_carbon_data
AU000000MND5,2004,no_carbon_data
AU000000MQG1,2004,no_carbon_data
AU000000MTS0,2004,no_carbon_data
AU000000NAB4,2004,no_carbon_data
AU000000NCM7,2004,no_carbon_data
AU000000ORG5,2004,no_carbon_data
AU000000ORI1,2004,no_carbon_data
AU000000OZL8,2004,no_carbon_data
AU000000PPT9,2004,no_carbon_data
AU000000QAN2,2004,no_carbon_data
AU000000QBE9,2004,no_carbon_data
AU000000RHC8,2004,stale_prices | no_carbon_data
AU000000SBM8,2004,no_carbon_data
AU000000SDG6,2004,no_carbon_data
AU000000SEK6,2004,insufficient_history(0mo) | no_carbon_data
AU000000SGM7,2004,no_carbon_data
AU000000SGP0,2004,no_carbon_data
AU000000SHL7,2004,no_carbon_data
AU000000SIG5,2004,insufficient_history(26mo) | no_carbon_data
AU000000STO6,2004,no_carbon_data
AU000000SUN6,2004,no_carbon_data
AU000000SWM4,2004,no_carbon_data
AU000000SXL4,2004,insufficient_history(0mo) | no_carbon_data
AU000000TAH8,2004,no_carbon_data
AU000000TCL6,2004,no_carbon_data
AU000000TLS2,2004,no_carbon_data
AU000000WBC1,2004,no_carbon_data
AU000000WES1,2004,no_carbon_data
AU000000WOR2,2004,insufficient_history(25mo) | no_carbon_data
AU000000WOW2,2004,no_carbon_data
AU0000032187,2004,no_carbon_data
AU0000033359,2004,no_carbon_data
AU0000038911,2004,no_carbon_data
AU0000088338,2004,no_carbon_data
AU0000224040,2004,no_carbon_data
BMG2108M2182,2004,no_carbon_data
BMG2178K1009,2004,no_carbon_data
BMG2442N1048,2004,no_carbon_data
BMG2624N1535,2004,no_carbon_data
BMG4600H1198,2004,no_carbon_data
BMG4639H1227,2004,stale_prices | no_carbon_data
BMG507361001,2004,no_carbon_data
BMG524401079,2004,no_carbon_data
BMG5320C1082,2004,no_carbon_data
BMG668971101,2004,no_carbon_data
BMG677491539,2004,no_carbon_data
BMG684371393,2004,insufficient_history(5mo) | no_carbon_data
BMG8063F1068,2004,no_carbon_data
BMG8403G1033,2004,no_carbon_data
BMG988031446,2004,no_carbon_data
